"","text"
"166","cemantab"
"167"," bermanfaat"
"168","top"
"169","es "
"170","cedan mudah"
"171","mudah akurat  cepat"
"172","mantab cebanyak han"
"173","good"
"174","pergantian nama gilan bayar"
"175","mantangetcememudah rjaan "
"176","istimewa cebanget"
"177","mohon ditingkatkan yanan  customer yg    cermat"
"178","ok    ribet mudah   orang thenk traveloka"
"179","mantarveloka"
"180","good"
"181","good"
"182","mudah  gunaan aasinya metode ayaran  flexibel"
"183","lengkap"
"184","ok"
"185","mantap"
"186"," ceudahmurah  berkualitas"
"187","pemiliknya rasis"
"188"," membantu  es elian"
"189","pokoknya maju   jaya traveloka is the best oke"
"190","ok for now"
"191","good servicenya"
"192","traveloka gk  kerjasama  oyo dah nyusahin udh x n  traveloka  erti oyo udh  samokasi nan masuk tit kamar udh max occuy"
"193","trimakasi  mudah layanannya traveloka  sukses"
"194"," membantu"
"195","good"
"196","aasi ng enak  booking kereta agi  yg mobilitas  kota nya "
"197","bayar  tewaktutiba limit turun drastisga  bgt ni traveloka lamauma bayar tewaktu"
"198","oke ressangat cpt"
"199"," tetangan bintang   lan  k ojk nya  lambat   lunas  tgl  oktober slik ojk udah   ue tgl ojk setial   tetaa data   ojk  fasilitas aktif   lunas ande sehat caturnusa  blm siacara sistem  main  ojk  dinonaktifkan traveloka  indonesia mewek lu"
"200","shiii dahhhh"
"201"," mudah  simple"
"202","  udah  traveloka hiburan  menyenangkan terima kasih traveloka   amanah   oo menarik"
"203","bagus  teraya   "
"204","hebat"
"205"," harganya   klik"
"206","mantullllllll"
"207","tis  ekonomis"
"208","kayaknya aasi  gk berguna  checkin kebanyakan guest house oyo home stay   pesan petugas karyawankarwati  menerima harga promo gak logika pemerasan harga  ku dapet  diskon  ribu    alasan  menerima harga diskon   gk   gak logika   pelayanan  gk professional   kamar nya biuh kotor gak rapi wc bau mending  coba aja  aplikasinya hehe  pengalaman "
"209","aasi travel  oke banget"
"210","transaksi aj ayakan  traveloka traveloka  top"
"211","mantancar"
"212","belibet es cancelled nya"
"213","intoleransi"
"214"," mudah n  traveloka tks"
"215","mantul  t "
"216","good"
"217","ok"
"218","nice  membantu srmogaa kedeya  diskonan  o "
"219"," membantu"
"220","mantap"
"221","aasi terbuk  terjelek  dunia later  blokir anen tamsebab   segi  menilai burukenak i tiketcom   aasi ni sumsangat jelek"
"222","manta"
"223","top"
"224","mhn   lgi kerjasama osi dgn k hotel krn terkadang  sy memesan lgsg dgn k hotel  darga yg  murah tks"
"225","user friendly"
"226","memudahkan  bikin nyaman setiarjalanan"
"227","traveloka  h  ayaran    semudah tokoa  lengser aja  gojek  biar  maju"
"228","memudah arian rbangan  temmenginap"
"229"," mudah  tis  travelokasemoga  kejutan   setia biar  semangat n tiketnya"
"230","harga wat dibandingkan  aasi   murah good"
"231"," membantu terima kasih traveloka"
"232","memuaskan"
"233","good"
"234","mudah    membantu alanan"
"235"," memuaskan"
"236","ok"
"237",""
"238","jos"
"239","nice"
"240","pengalaman yg  menyenangkan  alanan  wat dimohon traveloka utk   mengubah jam rbangan mohon disaman keklien maskalion air"
"241","  bln  traveloka   ayaran      jatuh temenartual nomer  jdi   gk ah telat bayar lohgunanya d mna  aklo kya gini mah mending uninstaljngn donwnload  cumah"
"242"," membantu sanan tiket wat  hotel"
"243","jelek"
"244","bosnya anti kebinekaan  anti pancasilatidak menghargai hasil demokrasi"
"245"," bagus"
"246","kenakrg udh gk  lg ya traveloka eats nya skrg cm  info ser   yg  cari  google jg  "
"247"," memuaskan"
"248","bismillah  jaya"
"249",""
"250","mantap"
"251","bsgus"
"252"," daftar latter setiau liat kode ot email  isi kode nya  aftaran latter   trs bolak  gituuu trs ga esional udh ca isi data foto ktp foto diriga bs isi kode ota"
"253",""
"254","baguss"
"255"," mudah beli tiket  simple"
"256"," membantu"
"257","ok"
"258","bagus"
"259","good"
"260","great "
"261"," kasih bintang  aja duluternya ditolak  data  benartolong ya dijaga data sayasaya  bertanggung  kalo     diinginkankarena    limit ternya"
"262","semoga lancar"
"263"," kena ti"
"264","nice"
"265","memuaskan "
"266","mudah"
"267"," jujur  ah mengunakan"
"268",""
"269"," membantu"
"270","mantap"
"271","mantap"
"272","cetis"
"273"," usul  ga  kode  m sebelahny terisi laki  mbiar  nyaman"
"274","ausukuri data"
"275"," cocok  "
"276","alhamdulillah dimudahkan"
"277","ku  bintang  aja dlu ah takut ga bsa on"
"278","paylater g bsa d   beberaulan kmren  bsa alasan kebijakan kebijakan  "
"279","mahal"
"280"," bintang "
"281","     kemudahan"
"282"," lem elian tiket  a tiket tujuan balikn  surabaya u  november  l    bayar  etiket terbit jadwal rbangan jd l     sesuaikan  jadwal rjaan    terganggu   tdk  yanan traveloka   berlanggan     rutin  beli ticket minimal setahun xl pp   kirim lan ketidakan nggan tetaesjuga   solutif"
"283","sngat membantu holiday  taelum ah dakuwkwk  memakai traveloka"
"284","ok"
"285","ol"
"286"," membantu"
"287","layanan bagus"
"288","jikm"
"289"," tiket kereta kebumen kelas economi  ribu"
"290","kebanyakan uenya"
"291"," sim traveloka aja yukk"
"292"," kecewarefund status es sdh   uang blm  "
"293"," bagus"
"294","  buruk   embalian uangrefund    no rekening     sesuai   diinginkanlagi ngan    harga tiket  dauang    proses nya      samsekarang refund nya    kirim"
"295","sanan tiket  hotel   mudah  tis"
"296","  i trveloka"
"297","scmm    kee"
"298","p a y a h"
"299","nice"
"300"," download aasi   ah mengecewakan    beli tiket  traveloka  am ataubalik ketemkerja lg   ah berkendala rekomended  kuli  "
"301","gl"
"302","kenaraveloka   mengeluwarkan harga tiket  mahal bener"
"303","ok"
"304","tq traveloka aasi   membantu "
"305","terbaik"
"306","  kugak  dii"
"307"," membantu "
"308","good"
"309","aasi bagus  arian kebutuhan  saran sih kalo  listing   insi  su   edaan  foto     berkembang  tetamangat"
"310","okokok"
"311","jooos"
"312","mantappp"
"313"," membantu"
"314","ok"
"315","excellent"
"316","cegak ribet"
"317","baikkk"
"318","excellent"
"319","ok"
"320","voucher cc nya  habis"
"321"," membantu"
"322","good"
"323","hadirnya traveloka  membantu"
"324","aelek masak n tiket kereta aahal "
"325","edur sanannya mudah  tis sayangnya reschedulenya mbulet  susah"
"326","oppo hebat"
"327"," membantu alanan  terima kasih traveloka"
"328","mantanget"
"329"," bermanfaat"
"330","oke a"
"331","oklah"
"332","mantatul"
"333"," nyoba taemoga  lancar"
"334","pilem dewasa lasung telanjang main"
"335","keren trkadang harganya mahal"
"336","tiket normal  masukkan kode o dangan   sk elian minimal harga  ngelawak aagaimana"
"337","maju  anak kam"
"338"," mudah  kemana "
"339","yanan   bagus"
"340","  bagus yanan nya pengembalian limit sdh   hr       lsng tertulis terselesaikan aneh "
"341","mantul"
"342","easy to used"
"343","bagus"
"344","ayaran yg mudah"
"345","ok"
"346","good"
"347"," membantu"
"348"," membantu si aasi initada   sayang kano yg tersedia slalu gak   i dgn catatan habis anyaan    o tadk   i  cantumkan   habis   batasisaya coba  o kereta ai aasi  gak  yg  satuamsaya coba  esokan harinya dgn jam yg   tentukan tatjao yg  hara tdk bisasangatttt  sayang "
"349","ok"
"350"," beli tiket bandung samturen sei yg   data traveloka  bis la kencana    terminal arjosari lumayan   km sobis gak  mengantarkan samturen   sek traveloka silahkan komn  cs traveloka  sdh    kali komn jawabannya   mohon maaf   yg antri dilayani     kejelasannya mohon diaiki komunikasi  ue informasi dg us m  korban"
"351","mantaedbd"
"352","memuaskan"
"353","keren mudah rgian tinggal klik"
"354","traveloka mantap"
"355","keren cees mudah"
"356"," membantu"
"357","kenaayanan food nya udah gak  ya"
"358","mantap"
"359","mudah   membantu"
"360","penagihan nya  "
"361","very good"
"362","good"
"363","tis mudah  diskon"
"364","tishemat"
"365","good"
"366","good"
"367"," bagusurusan  cepat"
"368","mudah cedan akurat"
"369","mantul"
"370","mudah  simple"
"371","  isnis      desa"
"372","pertahankan kwalitas layanan"
"373","limid  turan kn   ayaran tewaktu  embalian dna jaga  lma awalny   tk  gj kek gimi"
"374","murah  ter aya"
"375","memudahkan   terimakasih"
"376","liedavid"
"377","ok"
"378","bagus "
"379"," membantu "
"380","memuaskan"
"381","good traveloka tiket  hotel "
"382","mohon lakukan aikan  yanan  teraya   traveloka terima kasih"
"383","mantap"
"384","problem  aasinya no hande  terblokir susah  arui"
"385"," membantu"
"386","cebnget"
"387","mantap"
"388","ok"
"389","semoga damembantu"
"390","mantap"
"391","bagus  udah member gold  next nya o aja dibanyakin    udah  gunaan o nya"
"392"," membantu masyarakat  memudah smg traveloka tetaya d udara amin ya rabbal alamin "
