"","text"
"724","  engahan  kaya gini n makan  tv taenu eats nya   ilangin  orng kerja mager kalo  libur  minggu skli  jalan gmna  ani  udah biar gk kluar bli mkn taenu eats nya  ilangin"
"725"," bagu traveloka  ksini  h yanannya jugamana t nya  berat d kumn tl nya ga ramah"
"726","yanan crpat"
"727","hooooo"
"728","traveloka  mengecewakan masuk jam o  mw  voucher auto sistem gangguan  bikin o kalo ga bs d  ga  ku rekomendasi   orng  deh  aasi asli sih ga  banget  o voucher"
"729","terimakasih"
"730","if you want quick gateaway just otraveloka"
"731","asik"
"732","tolong  k traveloka  yg menangani ater utk ketentuan batasan usia tolong  tinjau     yg umurnya      taereka sanggumbayar cicilan tolong atiannya"
"733","ok"
"734","so many ent method ided by traveloka make it transaction easier "
"735","oke "
"736","makyusss"
"737","good"
"738","the features on traveloka are very easy to use good job traveloka"
"739","traveloka   membantu"
"740","nice anice e "
"741","pelayanan ce memuaskan"
"742"," memudahkan  alanan"
"743","kecewa  komn gak  klaim voucher aja samberjam jam gak selesai selesai samdinsuruh nunggu  x jam "
"744","aasi  membantu"
"745","nice"
"746","udah searena  trik  merugikan konsumen"
"747","cedan "
"748"," memuaskan"
"749","bagusss"
"750"," terbaik"
"751","ok"
"752","cedan "
"753"," membantu "
"754","good "
"755","oke"
"756","beli tiket  traveloka  "
"757","mantama   bingung  ayaran bca oneklik   ama"
"758","    konsumen traveloka  tetaeberaaktu    sanan tiket bus  e tiket  terbit  ayaran  sesuai   transfer ayaran   melewati estimasi batas  ayaran keluhan   ajukan  customer service    solusi kejelasannya terkait  e tiket  yg  terbit    reskejelasan  customer service terkait kendala yg "
"759","easy ess"
"760","bagus"
"761","nice service"
"762","tetaus aasi traveloka"
"763","aasi jelek sumsusah"
"764","good"
"765","  ue tiket  aasi traveloka"
"766","  ue ko menu eats nya ga "
"767"," memudahkan transaksi"
"768","bagus"
"769","cedan mudah  ribet  mendaan tiket"
"770","mntap"
"771"," ing"
"772","  tadah kecewa sm ani fitur reschedule  berguna tera  reschedule direct via maska  batal berangkat  alasan sakit taroses refund berbelit  data reschedule via maskatidak terrecord dlm aitambah aturan maskayg berbelit utk refund dana booking  keren ya traveloka note gak  resulasan "
"773"," ambil foto   ulang"
"774","terima kasih"
"775","racism"
"776"," kecewa      aasi    setiaya mencari jadwal rbangan diaasi    rbangan  transit   rbangan langsung taetika   bantuan dg  aasi orang   aasi   didahulukan rbangan langsung        kecewa  ikan    aasi     jadwal rbangan yg langsung tanransit  "
"777","keren bangettt  terbantu   nya atter nya"
"778","aampah"
"779"," n hotel  status nya udah berhasil  status ganti otomatis jd menunggu human error aasi taak  solusi udah lacall center nunggu  menit sam kali  menit tk  aksi setian call center  bertele  berbeda hati kawan dgn aasi nya mending  aasi sebelah gak   download"
"780"," mudah mencari wat  hotrl"
"781","terimakasih"
"782","nicee"
"783","mantap"
"784","mudah"
"785"," error"
"786","mantabb"
"787"," mudah berkendara terimakasih traveloka"
"788"," ng   discount nga "
"789"," kasih bintang  karna limit ater da jt tbisa   alasannya  keamanan"
"790","ok"
"791","okay"
"792","cepat"
"793"," "
"794","terima kasih traveloka aasi   membantu "
"795","es nya cedan semoga amanah  gak mengecewakan coustamer"
"796","oke"
"797","ok"
"798"," nggan setia   traveloka mengudara cuman saran    tiket bus  tiadakan  karna beberaali  n tiket bus  delay    jam ag      titik  keberangkatan bus  rute bus bandungpalembang     bandar lam udh  delay ngbrol  orang po alasan     estimasi kondisi dijalan  memambat so kl gak   aiki mending  hilangkan fitur tiket bus"
"799","click to download    download   umur   "
"800","nice"
"801","ucc rvg j yg v ex"
"802",""
"803","  update  aneh payleternya   beli roti cake    makanan    gk  pakai trus ngapain  tambahin limitnya klw gk  pakai   gk  telat bayar   jatuh tempo"
"804","terbaik"
"805"," tagihan dialihkan  danamas total tagihan  nambah  nambahnya ngga   tagihan  ribuan  alasan denda berjalan  jutaan denda   maksimal   mah  melebihi"
"806","membantu "
"807"," bagus"
"808","ok mntap"
"809","pesan travel jadwal berangkat   jam   dijemkayak taiii emang "
"810","bayar atter lancar trusga ah telatth menurun limitnyabukannya  mlh menurunaneh nih traveloka sekaranggue ksh bintang biar bs dibaca"
"811"," "
"812","mantab"
"813","mantap"
"814","coba "
"815","bagus"
"816","nice    membantu ku"
"817","udah   langganan   samevel inum ng tingginya tngajuan ater  ditolak   kasih bintang   komen gini t  tanggasaya ksh bintang   ga  tanggaoklah kl   ksh bintang  kl ga  tanggajg santai bnyk aasi    "
"818","aanck"
"819","memuaskan"
"820","aasi nya baikt sei abal  uyk aternya   hi  yaratan datamlh  tolakmohon jgn  data sy utk keingan  sy uninstal tq"
"821","aasi terbaik"
"822","good services"
"823","hmmm its not good"
"824","good"
"825","ok"
"826",""
"827","bisalah"
"828","r"
"829","mudah  cepat"
"830","terbaik"
"831","udah ga  berng  traveloka akses mudah ga bikin ribet"
"832","cukumuaskan"
"833","virtual number   diaktifkan error"
"834"," "
"835","ayaran   ovo godll"
"836","bagus"
"837"," memuaskan"
"838","nggak ah bingung kalo  n tiket wat   traveloka memudahkan ku  beli tiket wat   beian"
"839","great jobs"
"840","top"
"841","mumtaz"
"842","aasi wajib     staycation ya traveloka "
"843","az az    az pikirin   az pikirin  pikirin   "
"844","refund terllu lamaudh sya tungguin      eh   tunda maksudanya gmna  uang loh tolong  kejelasanya   y hrs     tunda gini ga "
"845","traveloka  fiturnya  banget  keuan travelingbutuh aayak tinggal buka traveloka aja"
"846","pelayanan terbaik  setiatel   ditraveloka mantep"
"847","udah i traveloka   bulanansering banget adain o  hoteltiket wattiket kereta dllseringsering ya kasih onya traveloka"
"848","aasi bagusz zz x"
"849"," memuaskan"
"850","mantap"
"851",""
"852"," mudah"
"853"," membantu nan tiket  dadakan  direncanakancuman reifan nya aja yg dijanjikan uang   tdk dikembalikan"
"854","cedan mudah yanannya"
"855","keren good luck traveloka"
"856",""
"857","iklanmu "
"858","siiiiiiiip"
"859","coba cek daftar bank  refound  bank aneh ndak  bni mandiri bri  bank bank  lazim digunakankacau"
"860","mantap"
"861","ok"
"862","ok"
"863","kenao gk  n tiket kalaut"
"864","memudahkan alanan sya"
"865","good job thanks"
"866","mantap"
"867","manta salah h   tedjo beken"
"868","koq ga  han eatnya lg skrg"
"869","ok"
"870","nyaman  teraya "
"871","pakai ater  membantu"
"872",""
"873","mantul"
"874","mantap"
"875","ok gam cepat"
"876","ynb"
"877","excellent"
"878","mantap"
"879","mantaap"
"880","mengecewakan point ater turun  tiari  gak ah telat bayar n kamar hotel    cicilan   tenor ang taoint turun tiari  cs  gak memuaskan tim analis ater gak becus mengecewakan"
"881","kecewa banget udah booking  saldo udah  tarik taiket g diterbitkan  tlaveloka centre   suruh tunggu dlm mnt ntah samke mnt manalah raan    l wib  l wib  tunggu g jg dakeian   yg  disuruh kirim nama tgl booking bukti transfert koran yg  sekian kali  g  rugi r  tgl  juli  t rugi tiket ferry batammalaysia uang g jg dikembalikan"
"882","sewa mobil  aasi  driver   menjemdengan alasan kendaraan mengalami    elesaian    k aator  dana   teralokasi   refund sekedar     si   user  lemah "
"883","mantaa"
"884","uang ayaran sisa driver traveloka eats   bayar   driver travelokakasihan driver kerja uang   bayarkan  driverkorupt woi"
"885","ceyanannya"
"886",""
"887"," esional  menangani asalahan"
"888","  hati"
"889","meringan   dibutuhkanthanks"
"890","byk diskontks traveloka"
"891","  senang i traveloka  membantu   yg beian "
"892","aasinya burik"
"893"," "
"894","yanan bagus"
"895","alhamdulillah  mudah  traveloka tanibet          "
"896","banyakin ngan tiaansaksi "
"897","bagus"
"898","ok"
"899","beli tiket  traveloka mudah  cepat"
"900","sebenernya bagus si traveloka  n tiket wat atauhotel oke oke aja taang  heran kenaistem eatsmakanan dihaya   ngebantu  banget tolong  k traveloka kembalikan sistem eats nya terimakasih  kasih bintang  ya"
"901","mudah  simpel"
"902","buneaguj"
"903",""
"904","semoga   lagii"
"905","alhamdulillah  membantu  ecekan tiket wat tarif hotel dll    memirakan budget alanan trimakasih traveloka semoga  berkembang   layanan terbaiknya"
"906","semoga traveloka  membantu"
"907","sungguh   sayangkan  nyari hotel buru  masuk ker travelio alhasil  nunggu check in  jam  samjam  anak  istri  terlantar  nungguin check in yg ngga i ka   n oyo mending traveloka  join  travelio  kasama travelio   habis  ribu  tagga   refund    a bukti   viralin  ngga  beda  bisnis haram nga  sei "
"908","good"
"909","harga   terooosssss"
"910","transaksi ceditanggapi"
"911","cemantarenn"
"912","barokallah"
"913","aasi ga  ama harga hotel  n k  selesai  oesan  liat kamar  hotel  jenis yg   k   aasi ga berbobot"
"914","mantap"
"915","mantap"
"916",""
"917"," kecewa rbangan   batalkan  temen  ndak  ndak mengisi asuransi atalan bener bener kecewa uang   merantau habis    bener bener kecewa semoga tuhan  balas"
"918","oke"
"919","mantap"
"920","ok"
"921","mantap"
"922"," memudahkan"
"923","belinya gam"
"924","ok"
"925","gak  bgt traveloka point turun   gak ah telat bayar  beli mendadak"
"926","come on  move on bro "
"927","anti ribet ribet club kalo  traveloka"
"928","simtis  gak repot   tinggal pilih klik bayar terbang"
"929"," membantu"
"930","memudah alanan "
"931","mantaktisceya"
"932","good"
"933"," mengesankan  good"
"934","aasi buruk  yg   rbangan   kode booking  salah  refund  da  ayoooo uninstall rame"
"935"," heran  traveloka letangan menghabegitu  driver traveloka eats  bangkrut si bangkrut  taak gitu  matiin driver   exs driver traveloka eats mutasi   shoatau grab  kasihan korban traveloka   awas aasi  kagak bertanggung "
"936","tolong utk oyo aurilia   tambahan tarif ya kitabsdh    kyk gitu"
"937","traveloka  membantu   kendala yg  hadaerkait  transaksi terimakasih traveloka   customer   timnya so d of you all thank you so much "
"938","refund tiket  yatolong  jgn kayak   tetasuruh byrgak banget deh traveloka sekaranghati  teman traveloka ater bilang  es taohong besarbohong  bilang udah ketemu solusinya taasih zonkhati deh klo  diganti tiket  tiketnya gak  dihadeuuh zonkkk"
"939"," memuaskan"
"940","ok"
"941"," mudah  membantu"
"942","memmudah"
"943","pemesanan tiket cedan lancar"
"944","god job"
"945"," membantu alanan kamicatatan  i bahasa indonesia"
"946","aasinya bagus mudah utk    membantu"
"947","bagus"
"948","mantapp"
"949","es ce salah masukan nominal ayaranah nominal yg salah  sdh trlanjur dibayar  "
"950"," "
"951","aasi bagus"
"952","bagus"
"953","good job"
"954","yi kovsyblbkďeu bakhcbv"
"955","   tagihan letter ya   i  "
"956","satelit "
"957","aasi gak  udah cancel dadakan duitnya gak langsung dbalikinmerugikan "
"958","i quit"
"959","yanannya bagus"
"960","andalanku"
"961","mantap"
"962","aasi ngak berguna"
"963","layanan mudah  cpat"
"964","  install nggak  deh   kasih bintang   nilainya jelek nih aasi  issu miring"
"965","good"
"966","mudahcepet"
"967","traveloka eats kya  lgi"
"968","bagus"
"969"," membantu dlm aktivitas sanan hotel  alanan"
"970","tolong  d aiki    ktdahal sdh   kth bratus kali  tetalangnya    sdh   gimna  tolong d "
"971",""
"972","jadwal wat ku jakarta"
"973","ok banget"
"974","kecewa  ater    ha pdahal udh  acc jt  sekli nya mw k   ajuan lgjd mls yaa jd  haaj"
"975","memudahkan alanan "
"976"," membantu"
"977","good job"
"978","mantal in"
"979","mudah"
"980","mudah ja"
"981","  jarang i ater langsung diblock     aktifkan  lucu   a data  trus  block   krn jarang i orang liburan  ga setiaat  ing    i   bayar tewaktu  ga masuk akal"
"982","sumsaya kecewa  yanan tanolusi   cs online chat  emailnya  ketidaknyamanan   alami  edaan kebijakan khusus dibagian krl saran   user yg    elian tiket kai  website resminya kai    ue"
"983","gak bagus masak cek keberangkatan bus kereta at gak  temu kn aasi jlek"
"984","bagus"
"985","ok"
"986","good"
"987","simayaran  alfamart  ramah yanannya"
"988","  memakai jasa aasi  trimksih traveloka  er  keayaan nya sukses "
"989"," kaleng"
"990","good acation"
"991","simdan cepat"
"992","memudahkan booking hotel  wat"
"993","es cepat"
"994","walk out  traka  membahagiakan   nilainilai   jari langsung  ananda sukarlan  keren "
"995","oln mm mm"
"996"," memuaskan  aasi traveloka "
"997","ok"
"998","good"
"999","bo ds z"
"1000","ok"
"1001","okeeee"
"1002",""
"1003","mudah   nyaman"
"1004"," "
"1005","mantatiket murah"
"1006","جيد جدا"
"1007","mantap"
"1008","  biaya tambahan nya bingung"
"1009"," download gak  masuk"
"1010","bagusss"
"1011"," tukar t  makanan ah onya  habis "
"1012"," membantu  tis ngga ribeut"
"1013","   cepat"
"1014","sorry gw uninstall gara  masukan biaya asuransi  gak  klaim dikantor"
"1015","  omong doang otw  wkwkw"
"1016","tega sisa uang driver  dikembalikan"
"1017","bgus bgt"
"1018"," tetagus  bermanfaat"
"1019","nyaman"
"1020","senang  traveloka"
"1021","aasi yg memudahkan traveler"
"1022"," "
"1023"," membantu sdh berlangganan cukuma dgn traveloka sukses "
"1024","terbaik"
"1025","asu"
"1026","gooddd"
"1027","informatif data  disaman  aasi cukutail"
"1028","tolong hadata   coba registrasi  laternya   ambil data  tolong  disalah  data  terima kasih"
"1029"," berharalalu terbaik"
"1030","aasi   membantu"
"1031"," susah  n hotel   kartu keridit  ribet aja  aasi"
"1032","good apk"
"1033","beli tiket wat  bandara   kursi"
"1034"," membantu"
"1035","sim mantab "
"1036","good"
"1037","  gk  comment"
"1038"," suka  aasi   memesegalanya "
"1039","lwowawa"
"1040","traveloka emang jagonya"
"1041",""
"1042","mantap"
"1043","jelek  maksud menjatuhkan tpi  h banget   ayaran tpi  aasih status ing   tunggu jam stelan   diresitu jga gk ad solusi  jdi tunggu lgi bw mobil samtujuan hotel jga blm selesai tle cust service resnya    tunggu menit lgi    team nya lelet"
"1044","aasi yg    i terimakasih traveloka  membantu es refund elian tiket hotel sayasemoga cebalik dana  cs nya ramah sekalibalasan ce aasi  elian tiket an teraya"
"1045","the best"
"1046","nice"
"1047","excellent"
"1048"," runannya  sesuai titik lokasi"
"1049","tis  ceesnya"
"1050","cepat"
"1051","hell"
"1052","mbantu banget aternya  terbaik acc nya"
"1053","cemudah  tis"
"1054","mantaaveloka"
"1055","ok"
"1056","ok"
"1057","traveloka  esional  ent    kirim email  refund butuh    perbaiki manajemen  kualitas"
"1058","tereveloka smg  menjd rik nggan yg aman  nyaman  konsumen drmnberd smin"
"1059","traveloka  cocok   kendaraan  travel bus wat dll jam nya  keberangkatan taanya estimasi saran  aasi  tutuja"
"1060"," memuaskan"
"1061","hati i traveloka order  dibatalkan refund gak full  kena charge biaya cicilan   kesalahan  kai traveloka"
"1062","terimakasih"
"1063","aasi   membantu   sy  keuan mendesak  alanan wat maudan  recommended makasih traveloka sukses  good luck"
"1064","good"
"1065","kakapakai araveloka ngk  refund hak orang ngk  hati ano"
"1066","baguslah"
"1067","traveloka is the bestmurahceakurat mantap"
"1068",""
"1069","ok"
"1070"," membantu"
"1071","cedan tis"
"1072","keren"
"1073","ok"
"1074","good"
"1075","ok"
"1076","menu nya   hilang sei traveloka eats  traveloka mart"
"1077","encess"
"1078","bagus"
"1079","mantap"
"1080","oke"
"1081","ok"
"1082"," n tiket tanggal   november tibatiba  sore  mendaan email  rbangan   batalkan  maskalion air  haraaveloka   tangkangan   "
"1083","ect"
"1084","mudah dii"
"1085","aasi terbaik  teraya  traveling han moda transasi wat kereta inahotel hostel gh   info wisata pembayaran fleksibel  tersedia ater  mudah  dgn cicilan rasional saran  ditambah   elian tiket kalaut  u su  lengkan terde"
"1086"," bagus "
"1087","bagus"
"1088","ceteakurat"
"1089","cedan simple"
"1090","terimakasih traveloka"
"1091","ok"
"1092","mantul traveloka"
"1093","mantangetbanyak discount"
"1094","alhamdulillah  traveloka  membantu   es refund   ce terimakasih traveloka "
"1095"," mudahnya  elian tiket"
"1096","gam tanibet"
"1097","cedan teharga nyaman"
"1098","aasi terbaik"
"1099"," ani  membantu bt sya tekarnga  buruk aya  "
"1100","aasi  membantu  mantalam  tranfortasi"
"1101","mantap"
"1102",""
"1103"," membantu   user friendly  mudah  mengerti"
"1104"," later memudahkan "
"1105","ga  kenaa  acc at nya"
"1106","easy and safety"
"1107","membantu"
"1108","ok"
"1109","mantaedbf"
"1110"," "
"1111","terbaik"
"1112","bagus    wat "
"1113","jtmucc"
"1114","ole bagus"
"1115","yanannya  cedam "
"1116","ok "
"1117","bagus bgt"
"1118","sumsangat kecewa pakai traveloka  sih enak taakin kesini  aneh layanan refund paylater gak  urus samekarang  gak   i traveloka"
"1119"," mudah   cepat"
"1120"," mudah  "
"1121","traveloka ater     i  eat delivery ya"
"1122","terbaik"
"1123"," dr rb mitra terdekarna tulayanan eats"
"1124","n tiket   mudah"
"1125"," membantu "
"1126","yanan a mantaap"
"1127","kecewa klok beli tiket  batalkan sek rugi  karna tunggu embalian dana yg   dana yg  kembalikan   ng biaya   anggungbjawaban   inibukan  memotong biaya dri nggan"
"1128","aasi   bagus   suka  aaja terima kasih udah  aasi    nyaman memakai aasi  terima kasih"
"1129","   sesuai ram sistem es"
"1130","tausah banget  lolos ajuan later"
"1131","mantap"
"1132"," memuaskan"
"1133"," blm bokep"
"1134","keren   membantu"
"1135"," biaya layanan  mahal"
"1136"," udah ga  traveloka eats ya"
"1137","bagus"
"1138","good job"
"1139","bagus"
"1140","membantu "
"1141","mantap"
"1142","refund tiket  sesuai  informasi estimasinya    beli tiket  jutaan kembalinya  rbuan info  maskasebagai alasan utamanyageh syukur  ngembaliin ya walaucuma rbuan"
"1143","nice"
"1144","bagus membantu"
"1145","terimakasih traveloka "
"1146","nice"
"1147","mkasih  slalu i traveloka"
"1148","flag inae"
"1149","geje"
"1150","quick resexcellent"
"1151","terima kasih traveloka harga jadwal  jenis rbangan   membantu  variatif  "
"1152","mantap"
"1153",""
"1154","aasi taikkk cicilan ater    juta  turun   juta"
"1155","good"
"1156","ok   i hamsetahun    lancar lancar aja kalo  tingkatkan  fitur makanan  minuman  bervariatif"
"1157"," mudah"
"1158","mudahan lancar"
"1159"," terbantu  aasi   mudah  jalan   kota     negri"
"1160","mantap"
"1161","   refundtaana   dikembalikan"
"1162","han teuntuk memilih hotel"
"1163","bagus"
"1164"," service b tat kesigab ga  cukuma  nanganin beberaasus trouble  k hotel oh ya  mohon  ue berkala  daftar hotel nya   keeat hotel  suda   kerja   "
"1165"," kecewa banget ya  traveloka cs nya   nan yg aktif klo engga  ga   cs  chat ga  dwaban ky cs  yg bener  ngomong lgsg   traveloka eats ga  digunain trs nga  disitu  emg   nonaktifkan"
"1166","mudah taiskon rbangan nya  ga "
"1167","tholol msukin nama sahaan susah banget anjg"
"1168"," ayaran  mudah  ribet"
"1169","menebarkan kebencian"
"1170","good"
"1171","ok  membantu"
"1172","membantu banget seneng bgt a aasi traveloka  aternya mendukung hobi  staycation n makan jg gam cm han resto nya msh  tingkatinlagi  bintanggg  traveloka"
"1173"," cepat"
"1174"," bagus"
"1175","terbaikterima kasih traveloka"
"1176","trimah kasi aasi traveloko"
"1177","mantaosesnya"
"1178"," membantu"
"1179","terbaik dahh"
"1180","in"
"1181","  atin"
"1182","alhamdulillah ya allah lengkaa"
"1183","sx dds sex dzf xx xx wsrsx hd gfd to y f"
"1184",""
"1185"," bagus"
"1186","tdnya sg    i travelokattjak kejadian  kanisius yg a traveloka  enci islamanda benci islam tdk sadarkah   konsumen    umat islam"
"1187","aasi yg  membantu"
"1188","goood"
"1189","alhamdulillah resdari cs nya cejadi    langsung nemn terima kasih admin "
"1190","memudah  setiarjalanan  tiket mauhotel  harga  dibawah harga normal pertahankan  tingkatkan utk kean nggan"
"1191","muantap"
"1192","diskon yg "
"1193","ama kali n hotel  traveloka semoga  mingecewakan"
"1194","ajuan ater ditolak   uninstal ja lg ani  mudah sei iklannya yg  iklan ajaa"
"1195","scan qris susah kebaca"
"1196","aasi mantap"
"1197","ok"
"1198","cedan memudahkan"
"1199",""
"1200","uji cobajika bagus  tmbh bintangnya"
"1201","  i traveloka"
"1202"," nyaman  travelokasudah  dulun hoteltiket watkereta adak ah mrnemui kendalawalau jarang berangkat sanan tiket wat   mudahtinggal klik klik aja"
"1203","good"
"1204","coba"
"1205"," membantu   han utama dlm arian tiket  ina"
"1206","jelek"
"1207","easy use"
"1208","ok"
"1209","mudah  efisien"
"1210","ujh"
"1211","kirim buktiny"
"1212"," membatu "
"1213","good traveloka "
"1214","ok"
"1215"," install  tertunda mulu aasi  udh beres hdi lag buka aasi   close  atalan download  gabisa   install nih aasi traveloka  beberaevice bikin hror"
"1216","bagus"
"1217","memudah ayaran pbb"
"1218"," memuaskan"
"1219","aasi yg menyenangkan hati "
"1220","bintang  aasi aneh ga  nambahin alamat"
"1221","keren"
"1222","bunga cicilannya      terjebak riba sei "
"1223","bagus"
"1224","thats good app"
"1225"," traveloka liburan  lancar  nyaman terima kasih traveloka"
"1226","ok mantasemoga   kendala"
"1227","aasi  diskon hotelnya ngak fake  ng murah  aasi  walausudah diskon "
"1228",""
"1229","reslama komn  sewa aemen yg  din  sesua deskridan foto penginakotor kumuh  layak tv mati lamamar mati   traveloka   solutif  berbelitbelit"
"1230","memudahkan sanan"
"1231","mantul"
"1232","sim"
"1233","manta"
"1234","terbaik"
"1235","ok"
"1236","hotel  tertera  aasi   kerja   k hotel alhasil k hotel    cek in buang "
"1237","payahhh"
"1238","sngat "
"1239","traveloka uda    ara  tgl  oktober   n tiket wat  dabegasi    tgl  oktober kiat dmail  traveloka klau rbanga   batalkandan  scejule ulang   rbagan tagasi  jdi kosong  dabagasidan  hbungin traveloka  bilang klau  uda  maskaykita dainformasi  maskaklau  tdk  maskaitu  traveloka dendiri si eli  ualdi  tdk ad camtangan"
"1240","sumsebel banget  traveloka  kali  kecewa banget  travelokaawalnya tiket  diabatalkandan disuruh rescedhulesetelah  rescedhule  tambahan biaya lagidan yg bikin sebelnya   ganti tiket fasilitas rbangan nya  kgcs traveloka nya   call jg   ktersediaan  k maskaa  bantuan  iman    coba barang  banyakmasa iya bagasi  kg beli tiket mahal coba "
"1241","aasi nyaman aman cei"
"1242","mantap"
"1243","ok"
"1244","ok"
"1245","we"
"1246","mantap"
"1247","terimakasih"
"1248","snagat bagus"
"1249","okr"
"1250","goodjob"
"1251","lancar  mudah"
"1252","mudah n hotel  traveloka kadang  o jgdiskon jg"
"1253","good"
"1254","gak  ngomong ahanya berdoa aja  doa orang yg terzalimi in syaaa allah diijabah"
"1255","samsaat  travelloka  yg ng is the best terima kasih utk voucher   yg  berkali kali   "
"1256"," mudah  terima kasih traveloka   terdedi kelasnya ur the best"
"1257"," membantu"
"1258","puas  traveloka   membantu  menginaluar kota"
"1259","bagus"
"1260"," diudah gunaan aya ya "
"1261","siiip"
"1262","  rekomendasiin orang    ani  cocok ehh      jelek  aduan  tauga ga membantu  voucher   yg aternya error la   suruh cek berkala     ga tau sistemnya ngecewain banget si "
"1263","good"
"1264","ku kasih bintang   bintang  kemaren  rescedul tiket wat cilink fasilitas boking temduduk  bagasi dihilangkan h ni  boking temduduk  dihilangkan tk bagasi kenaarus dihilangkan   kirim kolewat cargo yg lumayan mahal     batam  kali kasih notif yg  diaasinya dimenu reskedul bagasi kg  hilang parahh"
"1265","aavelokatiket  dtsabay f  ujicobamoga  "
"1266","not hell"
"1267","mantaap"
"1268","mantaap"
"1269","tes dlu"
"1270"," membantu    o           yanan traveloka thanks traveloka"
"1271"," membantu"
"1272"," membantu"
"1273","surat lunas   caturnusa finance  berlaku berlakunya  update slik ojk "
"1274","muantep"
"1275","mantaap"
"1276","udah susah h to  gak bs    saldo gak ns  a  makan aja gak   transfer  atm   yg  gak  payah"
"1277","simpel"
"1278","sukabermanfaat "
"1279","baikk"
"1280","praktis"
"1281","susah   booking bus"
"1282","aasi terbaik disetiaiuntuk han hotel    traveloka xan  davoucher thanks traveloka"
"1283","terimakasih ya  sangngat bagus "
"1284","sumini aasi brengsek banget dah daylater gak samebln  jarang  jg e  lgs  blokir anen kocak aasi  haaaaaaaaa"
"1285","ok"
"1286","tis"
"1287","layanannya cefast res"
"1288","tdk ribet hemat "
"1289","kereennnsangat memudahkan   beian"
"1290","aasi yg  menguntungkan dng harga trmurah"
"1291"," membantu"
"1292","f zoo b"
"1293","bagus"
"1294","aasi  recomen"
"1295","oje"
"1296","f ed yuk b  rm"
"1297","mantap"
"1298","aasi nya keren"
"1299","dikasih limit etter tk bs digunaiin  uma "
"1300","mayan"
"1301","good app"
"1302","semoga  membantu "
"1303","top"
"1304","keren"
"1305","mantap"
"1306","mantab dech"
"1307","goodjob"
"1308"," membantu   terimakasih "
"1309"," membantu alanan terimakasih traveloka"
"1310","sulit tuk mendowoald"
"1311","ok"
"1312"," bagus  membantu   mudah"
"1313","ceesnya"
"1314","mantarima kasih traveloka"
"1315","mantap"
"1316",""
"1317","suka traveloka krn harga yg  dibayar sesuai yg tertera  aasi ngga u hitung k  ngga ribet "
"1318","bagus"
"1319","aasi ani n tiket air asia jam  berangkat   penang   medan air asia uda kasih form reschedule  minggu  taidak dikirim k traveloka    r tiket murah  r hot seat murah  r ongkos grab  bandara murah hotel pakek otak la  kek gini traveloka   tanggung  cuman dibantu reschedule tiket  air asia"
"1320","terimakasih traveloka beli tiket   muda"
"1321","bagus"
"1322"," udah"
"1323","mantaaasi recomended  travellerelesaian aduan  cepat"
"1324","si ng nggak ribet    tinggal buka  aasi  traveloka "
"1325","mantappp"
"1326","aasi  bagus"
"1327","good"
"1328","suka"
"1329","muantap bgt"
"1330","mantap"
"1331",""
"1332","mantan  "
"1333","anehditawari ater jtbgtu  ajukan ditolak dgn alasan histori g baguskonyolll  sy g   urusan agi telat  ater manaani cm m ambil data ajahatiunistall sajahrg tiketnya mahal"
"1334","  han  terbaik terimakasih traveloka"
"1335"," cancel   ganti metode ayaran kamar nya    n "
"1336","  login akun infonya akun  terverifikasi   sdh ah i  dalimit ater gmn sih"
"1337","good"
"1338","pelayanan  traveloka  mudah  cepat"
"1339","vocernya hoax"
"1340","ok trg kena biaya layanan"
"1341","traveloka memudah alanan kemanaei ng kamwisata dll"
"1342"," ga  berangkat  al lainhal  udah centang tuh  refund  nya taetea  ngan bayar refund udah taa  gunanya  aayar  gitu mah"
"1343","travel mantap"
"1344","simdan ga ribet"
"1345","aampah"
"1346","mantakali"
"1347","maaf kk aasinya  iklan orang  main game muncul terusss tolong ya"
"1348","rjaan mudah dr rumah   s"
"1349","gdd"
"1350","yanan bagus"
"1351"," maju"
"1352","thankyou for hel me traveloka i truly love this app"
"1353","traveloka ok"
"1354"," membantu "
"1355","good"
"1356","amasi traveloka tiket  hotel lifestyl þsetuju ku  reting bintang  harau semoga  sukses  sehat selaluaamiiiin   reting bintang  "
"1357","good"
"1358","oke"
"1359","kereen aasinyaa"
"1360","     kebanyakan iklannya hehe"
"1361","good"
"1362","fiturfiturnya  mudah dimi  gua   gak ribet  "
"1363"," membantu"
"1364","mudah  "
"1365"," yɛ de mu"
"1366","tiaftar ater isi alamat nya aja gak  kebukaq haaja aasinya"
"1367"," aja deh  orang orang  suka aasi traveloka  nyaman dii  nggak bikin ng"
"1368","ok "
"1369"," "
"1370","mohon   knaaylater  ga     belanja "
"1371","bagus"
"1372","ah    bill"
"1373"," bagus"
"1374","proses cemudah  efisien beli tiket wat  traveloka terima kasijlh"
"1375",""
"1376","bagusss"
"1377"," rekomended"
"1378","mudah"
"1379"," membantu   mudah  tis"
"1380","mantap"
"1381","mantap"
"1382","click"
"1383","terbaik"
"1384",""
"1385",""
"1386","dah   beli tiket  aasi "
"1387","oke"
"1388"," membantu"
"1389","    bus lintas jawasumatrasoalnya  bus   nama als   cari  gaada"
"1390","biasany cari tiket  sll   kenaudah bbrainggu   cari tiket kereta all muncul tdk  rute"
"1391"," membantu  interview amerika  terdekat  kedutaan"
"1392","suduper"
"1393","goooddddd"
"1394","ka admin kenaekarang traveloka eat    traveloka later"
"1395",""
